val_loss,val_auc,train_loss,Time,pseudo_loss,pseudo_auc
0.04250716078095138,0.925603186646434,,,,
0.04280771039027188,0.9253237228123419,0.08740637275966123,277.0,0.015996287101214486,0.9973184972006516
0.04292564129989062,0.9261911987860394,0.088311501740791,277.0,0.01565155111020431,0.9973019574763688
0.04241856026928872,0.9263935255437531,0.08769560671291658,278.0,0.016245138881328915,0.997285417752086
0.0422977036463895,0.9264934243803743,0.08848323090566144,279.0,0.016485568891013307,0.9972957550797629
0.04205825634167663,0.9269764795144158,0.08802247285935641,280.0,0.017104083143307695,0.997444612598308
0.042129842867143455,0.9268158826504805,0.08747955264515897,278.0,0.017086130696614937,0.9974260054084899
0.04242647297214717,0.926788062721295,0.08771472940399191,277.0,0.01571647868092571,0.9974260054084899
0.04229840237780341,0.9267842690945878,0.08694705540522994,278.0,0.015965439967944153,0.9974900968400857
0.04221385727370424,0.9272483560950936,0.08736285456916108,278.0,0.015848577666162912,0.9973536441147526
0.042348060487503454,0.9269941831057157,0.087522027947596,277.0,0.01571460030474035,0.9975417834784694
0.04218459635906454,0.9275467880627213,0.08654730988210416,277.0,0.01573644670757598,0.9974818269779443
0.04232176764801677,0.9270915528578655,0.08687134461624246,277.0,0.015793152562608676,0.9976079423756005
0.04208407107674118,0.9273634294385433,0.08713804086925331,278.0,0.01636592624376395,0.9976079423756006
0.0424260191353304,0.9269726858877086,0.08785213318757744,279.0,0.015914445091038943,0.9976141447722067
0.042334653536922166,0.927277440566515,0.085776551591843,278.0,0.015505687626344817,0.9976038074445298
