train_loss,Time,valid_loss,valid_auc
0.012777058786149103,184.0,0.0014701516719772675,0.8780190945877592
0.008953687939689495,183.0,0.0016290513764589253,0.8917880627212948
0.007878249703045976,183.0,0.0011136241441087285,0.9129792615073344
0.007600943448720847,182.0,0.0010596095747868752,0.9059167931208902
0.006573150334034221,182.0,0.0012781754745854338,0.8997306525037937
0.006025646857983386,182.0,0.001101415433065865,0.9065376833586242
0.005447567065797312,184.0,0.0011484115471713182,0.9129400606980272
0.0051872961687644,183.0,0.0011022520611670115,0.9216325240263025
0.0047457907191948735,183.0,0.0011028539674721098,0.9246332827516439
0.004395335656681408,183.0,0.0012425776397971535,0.9145940819423369
